Posicao_Rank,Features,Curva ROC,KS,divergencia_kl,Wasser,inf_mutua,Overlap_GMM,Geo_Score,Skewness_Score,Kurtosis_Score,Corr_Score,Outlier_Score,Silhouette,Davies_Bouldin,Dist_Centroides,Score_Final
1,V10 | V11 | V14,0.9764721431216635,0.9874682039956039,0.9094976836405789,0.8925560841278729,0.9603285909897341,0.9091825904597575,0.06361085216486594,0.4533070745142626,0.06560006763666563,0.8459207164723086,0.1613852250679831,0.5443824605152748,3.1105377078367016,1.1561884183256081,0.6504195201452845
1489,V12 | V26 | V27,0.5721837851803416,0.5108025914775514,0.6729377500450612,0.5609040378182086,0.48689847995413993,0.8324053471544698,0.04605635650711431,0.4126085443939471,0.012958931881233322,0.8350539801666479,0.03346143732035605,0.3732909707236067,2.6043795953873885,0.812870857611154,0.4239182583275949
1490,V10 | V13 | V21,0.6211643139440882,0.5475853951108413,0.44970466242070034,0.5696934688044526,0.4865250502686459,0.9530582936431796,0.03995878089961952,0.35542816964194635,0.014638494706736104,0.9240619248690868,0.1382632292283003,0.5174644942054376,6.405486674933272,0.6442885498744667,0.4239008719080883
1491,V16 | V21 | V23,0.7114429955524982,0.5300467851444994,0.6138769453987039,0.5069286426655305,0.4787472519836584,0.9523945295370074,0.02757983941238589,0.14879820375536043,0.003911972379482527,0.6816649536936927,0.07358009165415222,0.5455689089324426,9.806738168364074,0.32002820657841513,0.42385632394650014
1492,V11 | V21 | V24,0.5435595417858123,0.5376154646568859,0.6597266592314296,0.46778909043614253,0.47799141125081207,0.9355266957154704,0.020609528459697095,0.3778488630863547,0.017024600802320485,0.9732662994677912,0.208388337553969,0.4312564392897168,11.301307133680597,0.25489353521006725,0.4236749791128614
1493,V12 | V15 | V21,0.5813011823093834,0.520538914534566,0.5701995218292901,0.596563942736366,0.48964695888935056,0.9032541019543323,0.04879859806494799,0.2842194343600771,0.01549421938301998,0.8957465223596441,0.10666427043890583,0.4515274565875196,3.758693168517459,0.8769535958747798,0.42352796804344695
1494,V1 | V18 | V20,0.5728702220360539,0.5100910153276593,0.5949085979676244,0.5897405751169589,0.38413720656931183,0.9146506419738105,0.14885283207043173,0.31360612180559994,0.010986895641727102,0.7044121494647775,0.07013513022960491,0.491561439776416,1.2400647663931328,3.3378728482482263,0.4234765209171562
1495,V10 | V26 | V27,0.5767955822944345,0.5199772470295578,0.5748232007417698,0.5308505048979695,0.4829128876758308,0.9121181152358032,0.04753585538354351,0.5132068876482239,0.012320617906936825,0.8291632498709758,0.04290705947353669,0.47058151864707815,3.065120314813772,0.7875006811039904,0.4234001346886162
1496,V3 | V8 | V19,0.6916388668048766,0.5389524308286824,0.36600589272158807,0.713048418941132,0.4597222419364573,0.9105253804458662,0.07543604787575767,0.14262805713907137,0.014002192796906057,0.8270653953581353,0.08550128727466322,0.5023908825587369,2.9517990331585318,1.5119148850790065,0.42326487736806545
1497,V6 | V14 | V24,0.5085610601239146,0.5622232742467013,0.6233473841741185,0.6295673561803097,0.5041804903462405,0.7376834064165307,0.07794068125508216,0.38672270774061945,0.056268064157130544,0.8160712515107825,0.07154993478152491,0.44638527173796144,1.7679696763531,1.5282145111984375,0.42321992371424455
1498,V8 | V9 | V21,0.705455031195952,0.5643767497237692,0.44720956751891,0.5462748003600824,0.4723626500061395,0.9627683477329955,0.07163654712387575,0.11083218308821474,0.007147777490874231,0.8840892903772587,0.058087975187355985,0.6011056179159618,3.251841361701038,1.3271126434297407,0.4232072470413641
1499,V11 | V25 | V27,0.613229096181446,0.4970822419315375,0.7178632416747961,0.42747738848621636,0.4621267258218246,0.8188630923244418,0.011661130153103789,0.6431305040089024,0.013874893982287997,0.9022019431391396,0.06205978161241878,0.20389777245675783,9.6074855778239,0.22446610547984866,0.42312155092175796
1500,V7 | V13 | V18,0.5638576506194907,0.476070408878565,0.5932981320270032,0.6063665156105864,0.39259827609379727,0.9186348430977974,0.02691566450125846,0.5192679812272719,0.007681449305355207,0.9246019099267104,0.21105939269011037,0.5840771527548848,13.802434329521322,0.2883282449134095,0.4230139038950416
1501,V2 | V18 | V23,0.6493779234148543,0.49922642755826563,0.6190399934749476,0.5257643367169179,0.42676894825029643,0.9526524956063486,0.09711566240419076,0.14487117394269197,0.0052825200388950016,0.8250102133869079,0.07881005759145895,0.6135545487153727,2.444464630950896,1.9565782836783574,0.4230082803857761
