Posicao_Rank,Features,Curva ROC,KS,divergencia_kl,Wasser,inf_mutua,Overlap_GMM,Geo_Score,Skewness_Score,Kurtosis_Score,Corr_Score,Outlier_Score,Silhouette,Davies_Bouldin,Dist_Centroides,Score_Final
174,V10 | V24,0.45681248546253667,0.5322986022961781,0.5973425995720525,0.6382822731642055,0.461240079599026,0.8908340846499332,0.0681886765667508,0.5348759743821068,0.06998670622252316,0.9888861311028889,0.12051206217862517,0.6749032368677245,1.7725609813741456,1.0865155289964723,0.4321241049812318
175,V1 | V2,0.6405459766521957,0.6470194321676777,0.3210503492128409,0.7825196667815788,0.5489766620749335,0.8564494452107163,0.12393627513523682,0.13266170163336738,0.017267490653999358,0.43223605927917075,0.073978320035715,0.4283408142190646,0.8575798746606833,2.667934174327758,0.4317956358045629
176,V11 | V26,0.4695747180120592,0.4755121548645716,0.7598519827998866,0.4950419945693701,0.4408564794384659,0.5215454417778326,0.07924840368479981,0.7125282247440445,0.5438972863170825,0.9916180986288997,0.30820905349333005,0.4580686964463173,0.7941865870629479,1.406738344278678,0.4310410093165666
177,V12 | V13,0.5445742852500332,0.5018520855400482,0.6870862660531829,0.6741892471544803,0.45659083835388525,0.745277510942781,0.07580903722955389,0.44502577176883834,0.10892729808314798,0.7233146944589048,0.08449114892869762,0.5129901362315272,1.2231270889410926,1.3660406662053215,0.43087424399365293
178,V10 | V26,0.48719005685341155,0.5071165859429447,0.5648547430044637,0.6340223898125846,0.4636812446503247,0.9028058125174656,0.07463995958710229,0.5307225685568384,0.06936942479995088,0.9606527462322865,0.11225335294836522,0.718300672629905,1.5903136733427128,1.1927745547918216,0.429851816081492
179,V11 | V25,0.5397877135633045,0.47378162938156093,0.7613308551326468,0.5050316945581731,0.4335037222436604,0.49596143310241186,0.07715966338736173,0.7603409839946239,0.31172777518699313,0.9924176400602478,0.3208469855274453,0.44247062156296224,0.8285860411996935,1.376150849041869,0.4297742398332825
180,V10 | V15,0.50034116858564,0.48918907169385606,0.5374369649198982,0.6367520172200685,0.44955061927736883,0.9148367555231187,0.07477159087665605,0.5799937602467117,0.07068656217409179,0.9598264153455409,0.14351912342021006,0.6595698933027121,1.6269054185187088,1.2604542562923406,0.42953860980972025
181,V2 | V5,0.7090920767981146,0.621533145126377,0.3397802444771443,0.7053575838043789,0.49965032521447034,0.9262937308026312,0.08460832529849,0.1557001396675279,0.006348373427220369,0.49377278158543403,0.05267647436634233,0.6695360531633106,3.182064461997395,1.6589327637336606,0.4292253662484367
182,V9 | V28,0.7003507432056355,0.5396989429378037,0.8120616733338348,0.4020903027487094,0.4649186044165785,0.909052747803134,0.036806381628664626,0.06449664369533467,0.0008392829602676507,0.847021319944666,0.0248935771856453,0.3666582705206901,3.086892797873678,0.6593057339657105,0.4288025519347589
183,V12 | V25,0.5507451790473131,0.4920278304450284,0.7039090845476645,0.6774053861669636,0.46211480342511807,0.638803379267957,0.06563788944671516,0.40348102134368546,0.09183617241756631,0.9955768565830074,0.07333392817039049,0.5117165630548721,1.111182018829422,1.0675046932945151,0.4265076601066543
