Features,Silhouette,Davies_Bouldin,Dist_Centroides,Overlap_GMM,KS,Wasserstein,ROC_AUC,Score_Final
V14 | V17,0.7646638631767005,0.9982848687737814,0.37649846111556096,0.9613570684527036,0.9629124285445909,0.9957319360810567,0.9999999999999998,0.9232341058324806
V16 | V21,0.683927410429109,0.9973451896562149,0.17154662448369593,0.9496280262324679,0.7126507608491454,0.390609633189696,0.8355466467344561,0.7125956026466082
V4 | V18,0.6272018297253883,0.9988351862843723,0.25011658339109066,0.9111099163516535,0.757835806875822,0.47933965328616307,0.7953537764645828,0.7115484061981159
V12 | V27,0.5976957798732918,0.997974112576013,0.1813487357442608,0.911316626728361,0.7500335471404418,0.4921465250018608,0.8387608508675062,0.7095652011656244
V3 | V19,0.7148367319225705,0.9987812655830461,0.3538175645682581,0.9175662294665536,0.6000998362899548,0.5506895804900296,0.7060508046098193,0.7088637041642599
V6 | V17,0.5676648571961719,0.9953890141940323,0.15094600980981257,0.8984363609063506,0.7292729663723465,0.5984577363147705,0.7551185547525301,0.707583300538307
V17 | V20,0.6400487202033598,0.996495395543484,0.17532001803246755,0.936949340269943,0.6504999865811439,0.5370176360570669,0.7563336807052687,0.7073864077164947
V8 | V16,0.6732555765870987,0.9955672618216477,0.15283148247926737,0.9464245529390924,0.6209323421271571,0.48685779296504267,0.7889988074014103,0.7053779401401288
V14 | V20,0.6024177453024702,0.9975721196992783,0.17730001693396216,0.9104427616348337,0.7075558895359761,0.5292096692626969,0.7792967227643057,0.7034979107704912
V6 | V14,0.5255702303039984,0.99678966730962,0.160765649794457,0.8642796198120091,0.7863288693271787,0.5906497695204006,0.7780815968115671,0.7006663499796745
V17 | V23,0.7182610558033314,0.9972751503545126,0.22419524780921987,0.9496393174641682,0.5303786801213065,0.527168506736768,0.7113677127923432,0.6996213019677242
V3 | V27,0.564969725541603,0.9977506200255264,0.23218722568798705,0.9220931596372837,0.6928724403531843,0.5451838936938286,0.8020759415423944,0.6995845822583637
V14 | V23,0.6792475035814778,0.9982555295365336,0.21702441456748572,0.9311846789926418,0.5874345830761387,0.519360539942398,0.7343307548513802,0.6974001457323752
V11 | V21,0.6057895504445179,0.9968620074280723,0.14145384893350663,0.9471355112548726,0.7570929389978799,0.36338327797763115,0.8295007530897405,0.6952765841289239
V4 | V21,0.5742098593124747,0.9973370583046565,0.17218783355483008,0.9295247307501744,0.7634792410294947,0.41646244302183577,0.8209110696307271,0.6940130912890012
V8 | V11,0.6205852672223208,0.9943645440627307,0.12224009260014371,0.9419284876287398,0.6653745202758918,0.4596314377529778,0.7829529137566944,0.6939249216942086
V10 | V28,0.6217303662520068,0.9963807839883654,0.13359877230480355,0.9261341413500467,0.6906685274147232,0.41722636358188697,0.8259148474694789,0.6911365898467833
V12 | V28,0.6111637489207329,0.9981737730219011,0.1893607088180213,0.9092965818216668,0.681026274120394,0.4595697072020489,0.8191543858748027,0.6901497175375688
V20 | V21,0.9999999999999999,1.0,1.0,1.0,0.4960650546147447,0.13227500777805584,0.6420019076170871,0.6898682032402689
V7 | V27,0.6238963645089739,0.9965735997734292,0.16578729509026616,0.9321769904206956,0.665534473041518,0.44299882148872016,0.7905198549418053,0.6897769831326456
V4 | V8,0.5747440614106621,0.9950623008716848,0.14348069989063958,0.9239071904644502,0.6717608223075067,0.5127106027971824,0.7743632302976813,0.688993421019484
V1 | V2,0.5932201820325478,0.9972834172428022,0.27207178546266314,0.9130600168450841,0.649181718150345,0.591564630140917,0.642386674974758,0.6889579868751362
V12 | V19,0.6550212886502055,0.9987433116488588,0.23139035098919178,0.8790536903459021,0.6572609430772122,0.4976522117980618,0.7427357139349311,0.6887749471175749
V1 | V9,0.6809388916147212,0.9985642037158223,0.36058157791710543,0.9297333509423924,0.6127017525026167,0.5155166612288932,0.5927615978748586,0.6875879031730663
V7 | V19,0.7286335054684244,0.9978797780569861,0.26614603302874024,0.925274544447974,0.5727618689782883,0.4485045082849212,0.69449471800923,0.6871797597326644
V3 | V28,0.5905154048316158,0.9978425092495483,0.24295585710177087,0.9255621217420277,0.6238651673331366,0.5126070758940167,0.7824694765496909,0.6845607779438105
V10 | V19,0.6585088072731918,0.9972470330001335,0.16356520867303012,0.8809151321168909,0.6669031963715413,0.45530886817789984,0.749496175529607,0.6842480153103697
V1 | V18,0.7067718591028849,0.9987226012496412,0.3733244066925189,0.9359514118208616,0.5667620300045625,0.4960332764358974,0.5941069319849355,0.6826505722175221
V17 | V25,0.7808356317430208,0.9980874955500365,0.2728085341187096,0.9353899557681635,0.47269477469740484,0.508288827017916,0.5733412088993897,0.6825872381107991
V17 | V22,0.7754222678391017,0.9981880845233692,0.3031072958025802,0.9515529134015559,0.4507780252811251,0.5145297907856992,0.5527002874040954,0.6800753872639388
V17 | V26,0.7950949583370709,0.9982465693690316,0.28534980802679094,0.9385486591481428,0.4770059848098549,0.5003707865986912,0.5033036377636098,0.6792166224293736
V1 | V5,0.6868845873995062,0.9982419193818574,0.3700287555079932,0.9302208912614,0.523078822361182,0.5678745264579593,0.558164975086989,0.6782835369377537
V17 | V24,0.7833925800551264,0.9982446910231085,0.2825270042876634,0.9379907449704508,0.496208904752959,0.5048501003123457,0.47373332017735326,0.6779309642871905
V3 | V6,0.5171464812858425,0.9970945853323375,0.20531019013963603,0.8798736956805451,0.6995571777461691,0.5949178334393438,0.695594053316861,0.6777094518103857
V14 | V22,0.7411536963959506,0.9991978184843332,0.28416352916888893,0.92557255713627,0.5078339282359572,0.5067218239913291,0.5756633294631324,0.6771590467748256
V6 | V12,0.5085307431345267,0.9970691205070211,0.15986295782117504,0.8629114811836582,0.7567182845334264,0.5418804647473762,0.7322789626419728,0.675808202199904
V13 | V17,0.7365284253036416,0.9980751046535093,0.2870591082469358,0.9390929494856907,0.4847105552722686,0.5054001749296482,0.5756047583196928,0.6744879655696858
V14 | V25,0.7365605070517207,0.9990723634257036,0.2526773801372343,0.8955633364860356,0.5297506776522369,0.500480860223546,0.5963042509584267,0.6737076935554384
V14 | V26,0.7620665789009732,0.9992989320038081,0.2649830543921367,0.9005977423390557,0.534061887764687,0.4925628198043211,0.5262666798226467,0.6736176898060735
V14 | V24,0.7465484458970145,0.9992760759656631,0.2651277410067067,0.9026621944106646,0.5532648077077911,0.4970421335179756,0.49669636223639024,0.6720336845457122
V7 | V28,0.6439773090032206,0.9968029108811077,0.1714105072418516,0.9297912022634112,0.5965272000214702,0.4104220036889083,0.7709133899491019,0.6719233075536438
V2 | V21,0.6172732788639432,0.9929800044318092,0.09567008161918603,0.9408139797936488,0.6737629156490701,0.35246321028675137,0.7710958615882784,0.6718766260103901
V10 | V20,0.5732918358274898,0.9958567454474455,0.12154099487862685,0.9172881734775513,0.687587558036553,0.43809702086951047,0.7402545501893876,0.6718073731264118
V6 | V10,0.5127590075564744,0.9947489789099517,0.10992938680887024,0.8609947837246539,0.7663605378277556,0.4995371211272142,0.7390394242366491,0.670521922034941
V12 | V20,0.5577896280933339,0.9975459470523587,0.1628842145878979,0.898650044488963,0.6779453047422238,0.48044036448967237,0.7334940885947117,0.6691364608514246
V2 | V8,0.6203603278806739,0.9920191568574954,0.10012495103648146,0.9363816057240211,0.582044496927082,0.44871137006209805,0.7245480222552323,0.6677914590245331
V13 | V14,0.6960991979549445,0.9991167286185728,0.26637483355436664,0.9023237151082589,0.5417664582271008,0.4975922081352781,0.5985678003787298,0.6673342415761496
V9 | V18,0.6705873498753562,0.9985444878905115,0.20954539607236725,0.9431479539923886,0.6316395158476692,0.339292451639055,0.6959134913222347,0.6672115685965044
V3 | V20,0.5490183286132336,0.9976587383327967,0.22430670461704136,0.9173489208767851,0.6207841979549663,0.5334777331816402,0.6968091792695998,0.667125116526786
V2 | V9,0.59141289442827,0.9929997466955437,0.0980980594289615,0.8597233668428694,0.7140592039934517,0.4348238053440745,0.7441932343120572,0.6669799906164958
V2 | V18,0.6186586067596987,0.9941416959743663,0.11323457991003792,0.8819992215412796,0.6681194814953975,0.4153404205510787,0.7455385684221338,0.6664102943267531
